"",rat,gtyp,age,sex,vessel_idx,treatment,bfi_baseline,bfi_change,bfi_injected,log_bfi_baseline,log_bfi_injected,log_bfi_baseline_std,log_bfi_change
213,20240816a,fa/fa,Young,F,20,Vehicle,40.48876953125,2.078540802001953,42.56731033325195,3.7010246401342894,3.7510865956323753,-1.9222933467622731,0.0500619554980859
214,20240816a,fa/fa,Young,F,21,Vehicle,43.12540817260742,1.8685760498046875,44.99398422241211,3.764112340178788,3.806528796887427,-1.6186651923841247,0.042416456708638695
215,20240816a,fa/fa,Young,F,23,Vehicle,45.90195846557617,2.128276824951172,48.030235290527344,3.8265077842515836,3.871830714488955,-1.3183687239431283,0.04532293023737166
216,20240816a,fa/fa,Young,F,24,Vehicle,40.99177169799805,1.6447410583496094,42.636512756347656,3.7133713562705855,3.7527109931254263,-1.862871135610967,0.039339636854840876
217,20240816a,fa/fa,Young,F,25,Vehicle,40.93682861328125,2.5605125427246094,43.49734115600586,3.712030112974725,3.772699813376121,-1.869326264363591,0.060669700401395854
218,20240816a,fa/fa,Young,F,26,Vehicle,54.375972747802734,2.39297866821289,56.768951416015625,3.995922378863594,4.038989546270735,-0.5030110448632982,0.04306716740714123
219,20240816a,fa/fa,Young,F,27,Vehicle,47.280906677246094,1.3208732604980469,48.60177993774414,3.856106549674675,3.8836601544692155,-1.1759159397879586,0.027553604794540387
220,20240816a,fa/fa,Young,F,28,Vehicle,46.93498992919922,1.4798355102539062,48.414825439453125,3.8487634512198308,3.879806077551534,-1.2112567658077504,0.031042626331703183
221,20240816a,fa/fa,Young,F,32,Vehicle,55.95781707763672,3.686576843261719,59.64439392089844,4.0245981404166375,4.088400161242068,-0.36500048892930187,0.06380202082543018
222,20240816a,fa/fa,Young,F,3,Vehicle,45.0103874206543,1.9506988525390625,46.96108627319336,3.8068932947029075,3.849319307134615,-1.4127692371419498,0.042426012431707516
223,20240816a,fa/fa,Young,F,4,Vehicle,49.244754791259766,1.5910301208496094,50.835784912109375,3.89680286024608,3.9286005339956356,-0.9800529481100265,0.03179767374955578
224,20240816a,fa/fa,Young,F,5,Vehicle,46.90346145629883,1.750823974609375,48.6542854309082,3.8480914777671305,3.884739891718838,-1.2144908361430233,0.03664841395170759
225,20240816a,fa/fa,Young,F,6,Vehicle,50.75406646728516,2.140636444091797,52.89470291137696,3.926991742146056,3.9683031998500744,-0.8347600544466933,0.04131145770401856
226,20240816a,fa/fa,Young,F,7,Vehicle,54.25885009765625,2.8797531127929688,57.13860321044922,3.9937661145560983,4.0454799514644515,-0.5133887024982192,0.051713836908353183
227,20240816a,fa/fa,Young,F,8,Vehicle,52.32207489013672,1.7058181762695312,54.02789306640625,3.9574183640486975,3.989500451471088,-0.68832296693606,0.032082087422390604
228,20240816a,fa/fa,Young,F,9,Vehicle,48.277320861816406,0.4524345397949219,48.72975540161133,3.876961903012237,3.886289837380706,-1.0755434038051659,0.009327934368469126
259,20240816b,fa/+,Young,F,0,Vehicle,47.10988998413086,6.83465576171875,53.94454574584961,3.85248295741164,3.987956588277324,-1.1933555457692875,0.13547363086568387
260,20240816b,fa/+,Young,F,10,Vehicle,46.796836853027344,8.303619384765625,55.10045623779297,3.8458156120288614,4.009157996302319,-1.2254441109213985,0.1633423842734576
261,20240816b,fa/+,Young,F,11,Vehicle,46.55470275878906,5.9456787109375,52.50038146972656,3.840628024587838,3.96082043566121,-1.2504109047541447,0.12019241107337164
262,20240816b,fa/+,Young,F,12,Vehicle,46.175594329833984,6.671783447265625,52.84737777709961,3.8324513972495513,3.967408094757967,-1.2897633342453263,0.13495669750841577
263,20240816b,fa/+,Young,F,13,Vehicle,49.15301513671875,6.528953552246094,55.681968688964844,3.8949381903213514,4.019656372602349,-0.9890272218174274,0.12471818228099796
264,20240816b,fa/+,Young,F,14,Vehicle,48.16273498535156,6.017688751220703,54.180423736572266,3.874585588951047,3.992319657530247,-1.0869801157492216,0.11773406857919966
265,20240816b,fa/+,Young,F,15,Vehicle,50.4424934387207,5.704631805419922,56.147125244140625,3.9208339436322603,4.027975482084676,-0.864396275080152,0.10714153845241547
266,20240816b,fa/+,Young,F,16,Vehicle,50.56697845458984,5.074764251708984,55.64174270629882,3.923298763545875,4.018933687670045,-0.8525336026302541,0.09563492412417007
267,20240816b,fa/+,Young,F,17,Vehicle,53.35707092285156,5.208446502685547,58.56551742553711,3.977006507350548,4.070146083547047,-0.5940492528168179,0.09313957619649882
268,20240816b,fa/+,Young,F,18,Vehicle,45.374961853027344,5.259906768798828,50.63486862182617,3.81496045188003,3.924640442168977,-1.3739436650725854,0.10967999028894715
269,20240816b,fa/+,Young,F,19,Vehicle,52.55141067504883,7.60797119140625,60.15938186645508,3.9617919413974563,4.096997404762586,-0.6672738366381249,0.13520546336512984
270,20240816b,fa/+,Young,F,1,Vehicle,51.147499084472656,7.071369171142578,58.218868255615234,3.9347135974480967,4.0642094990288316,-0.7975963494442911,0.12949590158073487
271,20240816b,fa/+,Young,F,20,Vehicle,57.19976043701172,7.651893615722656,64.85165405273438,4.046549710212851,4.172102416261924,-0.25935208808054433,0.12555270604907331
272,20240816b,fa/+,Young,F,21,Vehicle,50.25437927246094,8.3155517578125,58.56993103027344,3.9170976928425856,4.07022144254036,-0.8823780834320604,0.15312374969777443
273,20240816b,fa/+,Young,F,22,Vehicle,48.77727508544922,6.799800872802734,55.57707595825195,3.8872645299205693,4.017770813327185,-1.0259589746499247,0.13050628340661552
274,20240816b,fa/+,Young,F,23,Vehicle,51.4808464050293,5.848926544189453,57.32977294921875,3.9412098240269025,4.048820086494147,-0.7663313439812006,0.10761026246724459
275,20240816b,fa/+,Young,F,24,Vehicle,47.182254791259766,5.015556335449219,52.197811126708984,3.8540178640893603,3.9550405615708786,-1.185968354900541,0.10102269748151826
276,20240816b,fa/+,Young,F,25,Vehicle,42.45388412475586,4.487602233886719,46.94148635864258,3.7484184073879874,3.84890185499702,-1.6941968704266668,0.1004834476090326
277,20240816b,fa/+,Young,F,26,Vehicle,47.64939880371094,5.034389495849609,52.68378829956055,3.8638700130995454,3.96430778582261,-1.1385519834285898,0.10043777272306453
278,20240816b,fa/+,Young,F,27,Vehicle,51.87569427490234,7.346561431884766,59.2222557067871,3.9488503620738777,4.081297412234876,-0.72955900224069,0.132447050160998
279,20240816b,fa/+,Young,F,28,Vehicle,43.16807556152344,5.740009307861328,48.908084869384766,3.765101230429749,3.8899427175667873,-1.6139058665318582,0.12484148713703824
280,20240816b,fa/+,Young,F,29,Vehicle,46.6339111328125,6.646751403808594,53.280662536621094,3.842327983194169,3.9755734611514617,-1.2422293528225423,0.1332454779572929
281,20240816b,fa/+,Young,F,2,Vehicle,47.76799392700195,6.127635955810547,53.8956298828125,3.8663558321094036,3.9870493963869778,-1.126588246637599,0.12069356427757416
282,20240816b,fa/+,Young,F,3,Vehicle,47.34772109985352,5.892292022705078,53.2400131225586,3.857518689642887,3.974810240006193,-1.1691195998996864,0.11729155036330585
283,20240816b,fa/+,Young,F,4,Vehicle,44.30802154541016,6.646541595458984,50.95456314086915,3.791165733919129,3.930934316813803,-1.4884627598140487,0.13976858289467398
284,20240816b,fa/+,Young,F,5,Vehicle,48.08460998535156,6.036518096923828,54.12112808227539,3.872962167189502,3.9912246471776545,-1.0947933115526445,0.11826247998815242
285,20240816b,fa/+,Young,F,6,Vehicle,57.35902786254883,5.496723175048828,62.855751037597656,4.049330248144762,4.140842435028169,-0.24596992959562433,0.09151218688340723
286,20240816b,fa/+,Young,F,7,Vehicle,49.790645599365234,7.2401885986328125,57.03083419799805,3.9078271270164073,4.043592072415459,-0.9269954143833904,0.13576494539905148
