"",rat,gtyp,age,sex,vessel_idx,frequency_empa,frequency_vehicle,frequency_change,frequency_vehicle_std,frequency_empa_std,frequency_change_std,log_frequency_vehicle,log_frequency_empa,log_frequency_vehicle_std,log_frequency_change
102,20240820a,fa/+,Young,M,18.0,0.0311452725796,0.0280043400918995,0.0031409324877005006,0.2725760533900341,0.3489950376344957,0.19005881180001927,-3.5753957775365754,-3.4690928083605614,0.3264059926924555,0.106302969176014
103,20240820a,fa/+,Young,M,19.0,0.0280751708902602,0.0247500565752915,0.0033251143149686975,-0.574967383148483,-0.3331947568093949,0.2568625367213684,-3.6989275040996867,-3.572869691456825,-0.4996255327886331,0.12605781264286176
105,20240820a,fa/+,Young,M,22.0,0.0290474071316088,0.0256980881295873,0.003349319002021501,-0.3280626751308134,-0.11715968411474112,0.26564170500124584,-3.661338681693026,-3.5388260550340203,-0.24827672404556964,0.12251262665900553
107,20240820a,fa/+,Young,M,24.0,0.0298462844080275,0.0262644626681543,0.0035818217398732,-0.18055646667195902,0.06035428126246519,0.34997168029402215,-3.63953848287974,-3.5116949223342018,-0.10250322939333216,0.12784356054553836
108,20240820a,fa/+,Young,M,26.0,0.0279264691203484,0.0256512648746539,0.002275204245694499,-0.34025729253081666,-0.3662369293868729,-0.12394540997044423,-3.663162395729193,-3.578180325908523,-0.2604715288074624,0.08498206982067025
110,20240820a,fa/+,Young,M,28.0,0.0328617074002631,0.0256193398451886,0.007242367555074496,-0.3485718259900332,0.7303942341335186,1.6776710485092057,-3.6644077500122494,-3.4154472078852938,-0.26879895955596517,0.24896054212695562
117,20240820b,fa/fa,Young,M,9.0,0.0316170485046055,0.0322658397622823,-0.0006487912576767993,1.3824381957053555,0.45382567644381955,-1.1844940763382836,-3.4337462008980926,-3.4540587942328576,1.2735878959151754,-0.020312593334764983
119,20240820b,fa/fa,Young,M,11.0,0.0220921732157175,0.0285440699447791,-0.006451896729061601,0.4131429376143093,-1.662642562374512,-3.289311187504528,-3.556306072167869,-3.8125318863204165,0.4540549690761933,-0.2562258141525473
122,20240820b,fa/fa,Young,M,15.0,0.0210814400850082,0.0326324426949399,-0.011551002609931704,1.477916019872804,-1.887231809392086,-5.138783915964633,-3.422448310776114,-3.8593622424142615,1.3491345888322208,-0.4369139316381476
125,20240820b,fa/fa,Young,M,19.0,0.0262880947410974,0.0278273117578087,-0.0015392170167113015,0.22647091169777198,-0.7302907602043545,-1.5074562184328288,-3.5817373032300077,-3.6386391137262284,0.2840015004363939,-0.05690181049622067
126,20240820b,fa/fa,Young,M,20.0,0.0223549486841854,0.028139589738447,-0.005784641054261602,0.30780038146116934,-1.6042527235488273,-3.0472940177723586,-3.5705778067039855,-3.800707564794896,0.3586227835306733,-0.2301297580909103
127,20240821a,fa/fa,Young,M,0.0,0.0260246496508342,0.0246820391949443,0.0013426104558898998,-0.5926817844873994,-0.788829391871813,-0.4622021203175814,-3.701679457955311,-3.64871112659538,-0.5180272883915022,0.052968331359930954
128,20240821a,fa/fa,Young,M,1.0,0.0278781903138369,0.0293532418515032,-0.0014750515376662984,0.6238831312930083,-0.3769646877554103,-1.484183059103558,-3.5283522839013135,-3.579910605030232,0.6409762645783776,-0.05155832112891856
129,20240821a,fa/fa,Young,M,2.0,0.0254860918506319,0.0256930665385419,-0.00020697468790999846,-0.3293704949657448,-0.9084992504604925,-1.024244864838079,-3.661534107971879,-3.669622393234332,-0.24958349981671366,-0.008088285262453088
130,20240821a,fa/fa,Young,M,4.0,0.0233241718917399,0.0269837045297679,-0.003659532638028002,0.006762405818209177,-1.3888871599169477,-2.27650593204341,-3.612522131113456,-3.758265035912636,0.0781496189341479,-0.14574290479918028
132,20240821a,fa/fa,Young,M,6.0,0.023769756050651,0.0245237831042055,-0.0007540270535544985,-0.6338978955955428,-1.289876444138219,-1.2226636572571226,-3.708111893346646,-3.7393412605717855,-0.5610396753036903,-0.03122936722513936
