"",rat,gtyp,age,sex,vessel_idx,power_empa,power_vehicle,power_ratio,power_change,power_vehicle_std,power_empa_std,power_change_std,log_power_vehicle,log_power_empa,log_power_vehicle_std,log_power_change
430,20241014a,fa/+,Adult,F,1,24.68929567534348,113.84758689371743,0.21686270520948508,-89.15829121837396,5.719764907873653,2.026793540359544,-6.2247518701324305,4.734860596797351,3.206369776232635,2.6899792873756883,-1.5284908205647163
431,20241014a,fa/+,Adult,F,2,29.984617288523687,74.80484771728513,0.4008378895689557,-44.82023042876144,3.4095246792233906,2.6761183762815377,-2.7806240231195223,4.314882691935029,3.400684493108094,2.1865291606049664,-0.9141981988269352
433,20241014a,fa/+,Adult,F,4,11.012956332502691,17.729251403808593,0.6211743565290574,-6.716295071305902,0.032242719529567726,0.3497685268645998,0.17924437230064744,2.875215897187331,2.3990724280884748,0.46072306001752494,-0.4761434690988562
434,20241014a,fa/+,Adult,F,5,17.328514193830813,37.17973256429036,0.4660742022247399,-19.85121837045955,1.183168217878661,1.1241971398228028,-0.8410608529922036,3.615763789268245,2.852353363977577,1.3484576904146846,-0.7634104252906679
435,20241014a,fa/+,Adult,F,6,9.218507311590784,28.793149017333985,0.32016322028691896,-19.5746417057432,0.6869165946623644,0.12972895208715107,-0.8195767065090382,3.360137477501076,2.221213127671215,1.0420246672124227,-1.138924349829861
436,20241014a,fa/+,Adult,F,7,14.185647035796064,19.542967213948565,0.7258696635212705,-5.3573201781525,0.139564063172733,0.7388113501030485,0.2848079262663987,2.972615488409965,2.652230681305548,0.5774811941496686,-0.3203848071044173
437,20241014a,fa/+,Adult,F,8,20.830909255455275,54.33510864257814,0.3833784412300178,-33.50419938712287,2.19828756630821,1.55366908975362,-1.9016081858436475,3.995170586008135,3.0364379055662454,1.8032730454724444,-0.9587326804418894
438,20241014a,fa/+,Adult,F,9,7.634631773850011,34.86248911539714,0.21899273309426864,-27.22785734154713,1.0460520946728151,-0.06448960512088445,-1.4140693979133991,3.5514114407383457,2.032694708804216,1.271315065409228,-1.5187167319341297
439,20241014a,fa/+,Adult,F,10,6.930725002946524,17.55021160888672,0.3949083439790027,-10.619486605940196,0.021648561806958823,-0.1508043149552488,-0.12395090546414946,2.865066007325607,1.9359644257595288,0.4485558405556606,-0.9291015815660781
440,20241014a,fa/+,Adult,F,11,7.013974304199216,14.927261169433592,0.4698768397354542,-7.913286865234376,-0.1335568810180757,-0.1405960891239832,0.08626347289512293,2.70318914994298,1.9479044882095957,0.25450533592912294,-0.7552846617333842
441,20241014a,fa/+,Adult,F,12,13.475741271972652,30.10227915445964,0.4476651486363027,-16.62653788248699,0.764380552651044,0.6517610295960988,-0.590571506625765,3.4046008883055237,2.6008911261890777,1.0953253517174713,-0.803709762116446
442,20241014a,fa/+,Adult,F,13,7.245502277242726,11.595070536295571,0.6248778094589791,-4.3495682590528455,-0.3307295439149953,-0.11220558254292191,0.3630888971893526,2.450580054026255,1.9803809008013185,-0.04831078818198636,-0.47019915322493655
443,20241014a,fa/+,Adult,F,14,16.37820261988146,56.126516906738274,0.29180864095122877,-39.74831428685681,2.304288925974529,1.0076676913954299,-2.3866436074009245,4.027608372988738,2.795951342238161,1.8421579672230306,-1.2316570307505774
444,20241014a,fa/+,Adult,F,15,14.900649056270204,36.78113614908855,0.40511660640041014,-21.88048709281835,1.1595824374539396,0.8264865856303275,-0.998692034674052,3.6049851091038767,2.701404772826172,1.3355367061620698,-0.9035803362777046
445,20241014a,fa/+,Adult,F,16,27.34598037193561,51.90586079915366,0.5268380092519629,-24.559880427218047,2.0545439096994844,2.352562489013664,-1.206824123262571,3.9494317086354975,3.3085695481193396,1.7484433905191592,-0.640862160516158
446,20241014a,fa/+,Adult,F,17,6.200782623291016,17.7232197672526,0.34986772746271955,-11.522437143961586,0.03188581502670278,-0.24031157259236716,-0.19409102970709638,2.8748756311119377,1.824675513647832,0.46031516475253786,-1.0502001174641056
447,20241014a,fa/+,Adult,F,18,10.856608213227368,113.6375428873698,0.09553716084822193,-102.78093467414243,5.707336166358917,0.33059675141615985,-7.282942617322985,4.733013934852986,2.384773946499984,2.6877655942760517,-2.3482399883530016
448,20241014a,fa/+,Adult,F,19,19.3170049627896,44.88417515055339,0.43037451168469193,-25.56717018776379,1.6390561391046221,1.3680305717852332,-1.2850691942585337,3.804085286088772,2.960985794137184,1.5742088081527175,-0.843099491951588
450,20241014a,fa/+,Adult,F,21,19.12376108103784,37.47435100301107,0.510316004658793,-18.35058992197323,1.2006014047808131,1.3443345508487388,-0.724493819265227,3.6236567257069083,2.950931597537827,1.3579193782907195,-0.6727251281690814
451,20241014a,fa/+,Adult,F,22,12.11837321314318,33.58873458862304,0.36078683408477785,-21.47036137547986,0.9706813852591883,0.48531735412765514,-0.9668339565644979,3.5141907306497147,2.4947227482943886,1.2266965962096148,-1.019467982355326
452,20241014a,fa/+,Adult,F,23,9.157114952350485,25.2566530456543,0.3625624874284787,-16.099538093303813,0.4776547591821882,0.12220087607919909,-0.5496347895711269,3.229089607971383,2.214531167541448,0.8849305302020835,-1.0145584404299353
453,20241014a,fa/+,Adult,F,24,10.755406262627965,24.864314422607425,0.43256395812179754,-14.10890815997946,0.4544392653583512,0.31818712934440846,-0.3950050230824205,3.213433619802169,2.375408536309188,0.8661628542428071,-0.838025083492981
454,20241014a,fa/+,Adult,F,25,12.743234652815191,80.13948201497394,0.15901318965892663,-67.39624736215875,3.7251861061526146,0.5619393388583118,-4.534302177062712,4.383768641685412,2.5450005153127555,2.2691064574890034,-1.8387681263726567
455,20241014a,fa/+,Adult,F,26,33.541050572888594,117.69235904947918,0.2849891942329711,-84.15130847659059,5.947268087507036,3.112216620643107,-5.835815403733584,4.768074093292973,3.512770078888664,2.7297940938872385,-1.2553040144043086
456,20241014a,fa/+,Adult,F,27,19.82567325986664,35.92958929443358,0.5517923708339785,-16.103916034566943,1.1091946357345348,1.4304046790946299,-0.5499748628433541,3.581561170345751,2.986977727088876,1.3074571695942736,-0.5945834432568748
457,20241014a,fa/+,Adult,F,28,8.688095250622979,36.51504140218098,0.2379319567224715,-27.826946151557998,1.1438370568298908,0.0646885731228742,-1.460605904396688,3.5977242689117968,2.161953726600977,1.3268327460897824,-1.4357705423108196
458,20241014a,fa/+,Adult,F,29,14.63379970682078,73.18416140747071,0.19995856241821947,-58.55036170064993,3.3136252933212833,0.793764888497549,-3.847164296070128,4.2929790233401075,2.683333901530724,2.160272053735327,-1.6096451218093835
459,20241014a,fa/+,Adult,F,30,15.272574725973191,98.91639501953128,0.1543988205692048,-83.6438202935581,4.836255173232313,0.8720929891873783,-5.796394325046676,4.594274998595804,2.7260587183746794,2.521451761481417,-1.8682162802211244
460,20241014a,fa/+,Adult,F,31,14.354855672902069,19.441036732991535,0.7383791240176923,-5.086181060089466,0.13353262422659606,0.7595601126053992,0.3058696905904306,2.967386127496701,2.6640882593881803,0.5712124776666533,-0.3032978681085208
461,20241014b,fa/+,Adult,M,0,5.650392652182054,9.208378621976667,0.613614283702112,-3.557985969794613,-0.47195507752668914,-0.30780169005641395,0.42457806827811667,2.2201137893814233,1.7317250387050427,-0.3245831082457093,-0.48838875067638066
462,20241014b,fa/+,Adult,M,1,4.472759601333378,6.7372967540698205,0.6638804500679747,-2.264537152736443,-0.6181741405316916,-0.4522058345781286,0.5250516345591123,1.9076587694082752,1.4980055786141597,-0.6991397637135679,-0.40965319079411544
