"",rat,gtyp,age,sex,vessel_idx,treatment,bfi_baseline,bfi_change,bfi_injected,log_bfi_baseline,log_bfi_injected,log_bfi_baseline_std,log_bfi_change
81,20240815a,fa/+,Young,F,1,Empa,52.77935409545898,-9.274337768554688,43.50501632690429,3.966120093324264,3.772876249305914,-0.646443329574499,-0.19324384401835015
82,20240815a,fa/+,Young,F,20,Empa,60.12092208862305,-10.528541564941406,49.59238052368164,4.096357902235936,3.903837203456195,-0.01963548078285152,-0.1925206987797412
83,20240815a,fa/+,Young,F,21,Empa,59.56354522705078,-10.617328643798828,48.94621658325195,4.087043729668437,3.890722074533854,-0.06446268203181896,-0.19632165513458322
84,20240815a,fa/+,Young,F,22,Empa,59.68071746826172,-10.815536499023438,48.86518096923828,4.089008977744518,3.8890650972370935,-0.05500434632113792,-0.1999438805074245
85,20240815a,fa/+,Young,F,23,Empa,53.17511749267578,-10.655601501464844,42.51951599121094,3.9735905706311243,3.74996317032361,-0.6104894552787813,-0.22362740030751427
86,20240815a,fa/+,Young,F,24,Empa,49.87281036376953,-6.882774353027344,42.99003601074219,3.909475971765474,3.7609683681617634,-0.9190598629579609,-0.14850760360371051
87,20240815a,fa/+,Young,F,26,Empa,51.50476837158203,-9.725566864013672,41.77920150756836,3.941674393122982,3.732398644111616,-0.7640954682538514,-0.20927574901136614
88,20240815a,fa/+,Young,F,27,Empa,63.72394180297852,-10.343048095703123,53.3808937072754,4.154560344443307,3.9774528861980736,0.26048093010643486,-0.17710745824523322
89,20240815a,fa/+,Young,F,28,Empa,47.7105712890625,-7.569873809814453,40.14069747924805,3.865152993655917,3.6923907193818533,-1.1323772612852983,-0.17276227427406354
90,20240815a,fa/+,Young,F,2,Empa,55.00309753417969,-8.1651611328125,46.83793640136719,4.007389502449894,3.8466934814261124,-0.44782213215799177,-0.16069602102378155
91,20240815a,fa/+,Young,F,3,Empa,50.15834045410156,-8.333988189697266,41.8243522644043,3.915184810731521,3.7334787599485257,-0.8915843924988964,-0.1817060507829953
92,20240815a,fa/+,Young,F,4,Empa,50.67354202270508,-6.379001617431641,44.29454040527344,3.9254039207885985,3.790861428040293,-0.8424019128106365,-0.13454249274830543
93,20240815a,fa/+,Young,F,5,Empa,55.72579956054688,-9.49493408203125,46.23086547851563,4.0204432274964415,3.8336476589695123,-0.384997232203684,-0.18679556852692913
94,20240815a,fa/+,Young,F,6,Empa,63.26317596435547,-10.09933090209961,53.16384506225586,4.1473034215549225,3.9733785612191213,0.22555484940432483,-0.17392486033580123
95,20240815a,fa/+,Young,F,7,Empa,51.94807052612305,-8.569454193115234,43.37861633300781,3.9502445758761486,3.7699666084632817,-0.7228489373105458,-0.18027796741286695
96,20240815a,fa/+,Young,F,8,Empa,54.22611618041992,-9.362884521484377,44.86323165893555,3.9931626407411946,3.8036185652610053,-0.5162930981332717,-0.18954407548018937
97,20240815a,fa/+,Young,F,9,Empa,52.45164489746094,-6.981410980224609,45.47023391723633,3.9598916955986163,3.8170579122537798,-0.6764193297272635,-0.14283378334483654
126,20240815b,fa/fa,Young,F,0,Empa,52.700809478759766,-7.028343200683594,45.67246627807617,3.9646308155576198,3.821495627886341,-0.6536109178575342,-0.14313518767127897
127,20240815b,fa/fa,Young,F,10,Empa,61.85708236694336,-6.571876525878906,55.28520584106445,4.12482660104509,4.0125053472589265,0.11737852465519456,-0.11232125378616331
128,20240815b,fa/fa,Young,F,11,Empa,60.31784439086914,-7.998516082763672,52.31932830810547,4.099627986835502,3.957365868918702,-0.003897234644121819,-0.1422621179168
129,20240815b,fa/fa,Young,F,12,Empa,60.84065628051758,-7.786872863769531,53.05378341674805,4.108258254323669,3.971306180457574,0.0376384717990289,-0.13695207386609498
130,20240815b,fa/fa,Young,F,13,Empa,56.487060546875,-7.494739532470703,48.9923210144043,4.034011595054558,3.891663571837957,-0.3196954634486104,-0.14234802321660123
131,20240815b,fa/fa,Young,F,14,Empa,57.98269271850586,-6.085262298583984,51.897430419921875,4.060144564610789,3.9492692787327206,-0.1939228436006504,-0.11087528587806883
132,20240815b,fa/fa,Young,F,15,Empa,63.749267578125,-6.690670013427734,57.058597564697266,4.154957695001949,4.044078767227035,0.2623932968067033,-0.11087892777491426
133,20240815b,fa/fa,Young,F,16,Empa,75.98473358154297,-3.4510574340820312,72.53367614746094,4.330532446181396,4.284050952600224,1.10739854534828,-0.046481493581171485
134,20240815b,fa/fa,Young,F,17,Empa,67.83448791503906,-7.519824981689453,60.31466293334961,4.217070736930213,4.099575240563525,0.5613306216765144,-0.1174954963666881
135,20240815b,fa/fa,Young,F,18,Empa,69.66613006591797,-6.5076446533203125,63.158485412597656,4.243714260863946,4.145647208932048,0.6895604349748794,-0.09806705193189824
136,20240815b,fa/fa,Young,F,19,Empa,73.80924224853516,-8.32830810546875,65.4809341430664,4.301483957485328,4.181759018483435,0.9675941301605251,-0.11972493900189285
137,20240815b,fa/fa,Young,F,1,Empa,55.59784698486328,-7.9237823486328125,47.67406463623047,4.018144477212945,3.8643875317078695,-0.39606064560220594,-0.15375694550507557
138,20240815b,fa/fa,Young,F,20,Empa,62.08281326293945,-7.268955230712891,54.81385803222656,4.128469191583685,4.003943045784006,0.13490956543824442,-0.12452614579967847
139,20240815b,fa/fa,Young,F,21,Empa,70.84566497802734,-8.736122131347656,62.10954284667969,4.2605037783512385,4.128899646162216,0.7703649373417514,-0.13160413218902267
140,20240815b,fa/fa,Young,F,22,Empa,62.42726516723633,-6.765338897705078,55.66192626953125,4.134002121726752,4.019296363287828,0.1615384228297445,-0.11470575843892394
141,20240815b,fa/fa,Young,F,23,Empa,64.84990692138672,-6.815467834472656,58.03443908691406,4.172075475470547,4.061036611690982,0.34477766154126704,-0.11103886377956496
142,20240815b,fa/fa,Young,F,24,Empa,66.20625305175781,-7.838443756103516,58.3678092956543,4.192774915457377,4.066764527170869,0.4443998185612453,-0.1260103882865078
143,20240815b,fa/fa,Young,F,25,Empa,62.836158752441406,-4.930759429931641,57.905399322509766,4.140530684091332,4.058810632778865,0.19295905379428943,-0.08172005131246696
144,20240815b,fa/fa,Young,F,26,Empa,77.37001037597656,-10.048301696777344,67.32170867919922,4.348599242669879,4.209482750450282,1.1943503294433502,-0.1391164922195971
145,20240815b,fa/fa,Young,F,2,Empa,63.21453475952149,-6.877094268798828,56.33744049072266,4.146534255083555,4.031359331716633,0.22185300901473856,-0.11517492336692214
146,20240815b,fa/fa,Young,F,3,Empa,59.53881072998047,-5.212917327880859,54.32589340209961,4.086628381084823,3.995000971513013,-0.06646166953298456,-0.09162740957181059
147,20240815b,fa/fa,Young,F,4,Empa,60.91665267944336,-4.353984832763672,56.56266784667969,4.109506580349331,4.035349188910852,0.043646408797312214,-0.07415739143847855
148,20240815b,fa/fa,Young,F,5,Empa,60.31528472900391,-6.108940124511719,54.206344604492195,4.09958554970593,3.992797960718188,-0.004101475840425104,-0.10678758898774188
149,20240815b,fa/fa,Young,F,6,Empa,58.89579391479492,-7.682380676269531,51.21341323852539,4.075769677492994,3.9360014750503467,-0.11872238165596406,-0.13976820244264765
150,20240815b,fa/fa,Young,F,7,Empa,57.529762268066406,-6.799297332763672,50.730464935302734,4.052302418554243,3.926526616435137,-0.23166548332017736,-0.12577580211910577
151,20240815b,fa/fa,Young,F,8,Empa,51.47340774536133,-5.902336120605469,45.57107162475586,3.941065319853815,3.8192731210132473,-0.7670268129132354,-0.12179219884056769
179,20240816a,fa/fa,Young,F,0,Empa,51.24642181396485,-4.479827880859375,46.766593933105476,3.936645797317009,3.84516914319545,-0.7882970679730427,-0.09147665412155881
180,20240816a,fa/fa,Young,F,10,Empa,49.88449096679688,-3.586925506591797,46.297565460205085,3.9097101521798385,3.8350893778566926,-0.917932800678707,-0.07462077432314596
181,20240816a,fa/fa,Young,F,11,Empa,56.13898086547852,-4.378608703613281,51.76037216186524,4.027830417321837,3.9466248403110242,-0.34944420346521476,-0.0812055770108131
182,20240816a,fa/fa,Young,F,12,Empa,60.93962097167969,-4.767494201660156,56.17212677001953,4.109883553841464,4.028420668922078,0.045460704857957626,-0.08146288491938591
183,20240816a,fa/fa,Young,F,13,Empa,61.5244369506836,-4.8405609130859375,56.68387603759766,4.11943444468195,4.037489797057362,0.09142718257894618,-0.08194464762458775
184,20240816a,fa/fa,Young,F,14,Empa,66.0406265258789,-4.526706695556641,61.513919830322266,4.190270106073535,4.119263487906159,0.4323446849971985,-0.07100661816737563
185,20240816a,fa/fa,Young,F,15,Empa,68.90131378173828,-4.276153564453125,64.62516021728516,4.232675245787579,4.168603812009817,0.6364319206777067,-0.06407143377776237
186,20240816a,fa/fa,Young,F,16,Empa,60.69171905517578,-5.1453704833984375,55.546348571777344,4.105807264626639,4.017217781643942,0.025842361343518847,-0.0885894829826972
187,20240816a,fa/fa,Young,F,17,Empa,45.44457626342773,-3.774234771728516,41.67034149169921,3.8164934793645995,3.7297896405459516,-1.3665655183748535,-0.08670383881864785
188,20240816a,fa/fa,Young,F,18,Empa,46.03132247924805,-2.634258270263672,43.397064208984375,3.829322088227813,3.770391793864059,-1.3048240564158782,-0.058930294363753966
189,20240816a,fa/fa,Young,F,19,Empa,46.73537063598633,-4.4328155517578125,42.302555084228516,3.8445012791901614,3.744847488110462,-1.2317697251658801,-0.09965379107969952
190,20240816a,fa/fa,Young,F,1,Empa,45.93334579467773,-2.554115295410156,43.37923049926757,3.82719134120338,3.769980766635302,-1.3150789046037032,-0.05721057456807799
191,20240816a,fa/fa,Young,F,21,Empa,44.5898323059082,-3.636371612548828,40.953460693359375,3.7975058578318697,3.7124363169446375,-1.4579490444496208,-0.08506954088723218
192,20240816a,fa/fa,Young,F,24,Empa,43.48461532592773,-2.2692184448242188,41.21539688110351,3.7724072048700896,3.7188118972494233,-1.5787437107758258,-0.05359530762066633
193,20240816a,fa/fa,Young,F,26,Empa,56.931114196777344,-4.5243682861328125,52.40674591064453,4.041842014118345,3.9590353217936327,-0.28200926333879506,-0.08280669232471194
194,20240816a,fa/fa,Young,F,27,Empa,49.4873161315918,-4.176967620849609,45.31034851074219,3.9017163969738045,3.813535450345387,-0.956405104123703,-0.08818094662841736
195,20240816a,fa/fa,Young,F,28,Empa,49.90873336791992,-3.2405967712402344,46.66813659667969,3.9101960048369007,3.8430616319454063,-0.9155944915398504,-0.06713437289149438
196,20240816a,fa/fa,Young,F,30,Empa,41.02626037597656,-3.377277374267578,37.648983001708984,3.7142123586487013,3.6283059419742747,-1.858823563743316,-0.08590641667442656
197,20240816a,fa/fa,Young,F,3,Empa,46.73078536987305,-1.0672569274902344,45.66352844238281,3.8444031631166458,3.821299914558879,-1.232241937693764,-0.023103248557766687
198,20240816a,fa/fa,Young,F,5,Empa,50.53847503662109,-4.034202575683594,46.50427246093749,3.922734928109909,3.8395441892528974,-0.8552472268814877,-0.08319073885701167
199,20240816a,fa/fa,Young,F,6,Empa,53.645137786865234,-3.3509254455566406,50.294212341308594,3.982390836579497,3.917890007688416,-0.5681355811312606,-0.06450082889108089
200,20240816a,fa/fa,Young,F,7,Empa,58.54789733886719,-4.970706939697266,53.57719039916992,4.069845177167734,3.9811234252494065,-0.1472357859820499,-0.08872175191832721
