,rat,gtyp,age,sex,vessel_idx,power_empa,power_vehicle,power_ratio,power_change
52,20240815a,fa/+,Young,F,15,3.1609733639931186,13.149073211240095,0.24039514521001026,-9.988099847246977
53,20240815a,fa/+,Young,F,16,2.8889305737553803,9.68183112345951,0.2983867965591108,-6.79290054970413
54,20240815a,fa/+,Young,F,17,2.521300702678914,4.341929594227966,0.580686685023787,-1.820628891549052
55,20240815a,fa/+,Young,F,18,2.5661049716326647,8.593259456795705,0.29861835134086895,-6.02715448516304
56,20240815a,fa/+,Young,F,19,0.5214120332075625,3.8074816421723696,0.13694407017812155,-3.286069608964807
57,20240815a,fa/+,Young,F,20,2.9357117292832355,12.436968112999285,0.2360472184707775,-9.501256383716049
58,20240815a,fa/+,Young,F,21,2.3161893474812407,9.530839345152948,0.2430205004619214,-7.214649997671708
59,20240815a,fa/+,Young,F,22,3.3540859173755244,13.614833498672702,0.24635526521147036,-10.260747581297178
60,20240815a,fa/+,Young,F,23,2.5881659935931767,7.809260059410418,0.3314226922785534,-5.221094065817241
61,20240815a,fa/+,Young,F,24,0.6867683821794935,4.477467883472712,0.1533832067706174,-3.790699501293218
62,20240815a,fa/+,Young,F,26,1.712787640338041,4.239850095292211,0.4039736315771786,-2.5270624549541703
63,20240815a,fa/+,Young,F,27,2.945605307209249,5.54038443229568,0.5316608158161195,-2.5947791250864305
64,20240815a,fa/+,Young,F,28,1.4811207688584618,3.442024359904545,0.4303051384852885,-1.960903591046083
65,20240815b,fa/fa,Young,F,0,7.405434272831598,12.48178605874,0.593299247237631,-5.076351785908401
66,20240815b,fa/fa,Young,F,1,7.02881649737706,11.117442128766408,0.6322332435794724,-4.088625631389347
67,20240815b,fa/fa,Young,F,2,12.971765649165206,12.623157387417084,1.0276165662083576,0.3486082617481223
68,20240815b,fa/fa,Young,F,3,17.44208669048523,14.259102860043322,1.223224691040081,3.1829838304419074
69,20240815b,fa/fa,Young,F,4,18.62072119487713,21.03414161336166,0.8852617585805624,-2.4134204184845274
70,20240815b,fa/fa,Young,F,5,13.403266063575575,8.213940759262776,1.6317704809912161,5.189325304312799
71,20240815b,fa/fa,Young,F,6,18.49048756120542,21.299675898221903,0.8681112167884679,-2.809188337016483
72,20240815b,fa/fa,Young,F,7,11.436129459495708,16.77389582813782,0.6817813569768251,-5.337766368642113
73,20240815b,fa/fa,Young,F,8,6.986791635275907,10.775334369595694,0.6484060165214216,-3.788542734319787
75,20240815b,fa/fa,Young,F,10,13.324268623483029,14.70075527182058,0.9063662633051177,-1.3764866483375506
76,20240815b,fa/fa,Young,F,11,15.572346396712271,26.097346194319616,0.5967022961170576,-10.524999797607345
77,20240815b,fa/fa,Young,F,12,12.31629236573314,13.75001438932942,0.895729416493636,-1.43372202359628
78,20240815b,fa/fa,Young,F,13,5.9470528041855975,9.695902057365473,0.613357351280991,-3.748849253179875
79,20240815b,fa/fa,Young,F,14,11.623531243320183,18.964550755757987,0.6129083358218261,-7.3410195124378035
80,20240815b,fa/fa,Young,F,15,12.164246239887287,12.75693831523449,0.9535396299095212,-0.5926920753472036
81,20240815b,fa/fa,Young,F,16,58.65383207542192,56.36107749301664,1.0406797507143004,2.29275458240528
82,20240815b,fa/fa,Young,F,17,16.938284706148465,23.91961102724645,0.7081337855726137,-6.981326321097985
83,20240815b,fa/fa,Young,F,18,29.018548879500635,49.58420586415292,0.5852377460476724,-20.565656984652286
84,20240815b,fa/fa,Young,F,19,28.295529189539565,46.186661704343365,0.6126342139786792,-17.8911325148038
85,20240815b,fa/fa,Young,F,20,26.18310112195977,35.74940226243048,0.7324066827678385,-9.56630114047071
86,20240815b,fa/fa,Young,F,21,16.997341446610484,22.66341944127777,0.7499901544271189,-5.666077994667287
87,20240815b,fa/fa,Young,F,22,11.90546701292112,8.422990721563735,1.4134489050833074,3.4824762913573846
88,20240815b,fa/fa,Young,F,23,17.70134132614463,28.919855067724267,0.6120826430385553,-11.218513741579638
89,20240815b,fa/fa,Young,F,24,9.068515147262378,16.942388675662386,0.535255997301563,-7.873873528400008
90,20240815b,fa/fa,Young,F,25,11.203021180476243,18.31642689397625,0.6116379163536857,-7.113405713500006
91,20240815b,fa/fa,Young,F,26,39.63507206961834,51.63516608627426,0.7675984232024035,-12.000094016655922
92,20240816a,fa/fa,Young,F,0,4.055529659609252,7.434703993363812,0.5454863654597684,-3.3791743337545608
93,20240816a,fa/fa,Young,F,1,2.6572611651843108,3.7035156273119374,0.7174969495438548,-1.0462544621276266
94,20240816a,fa/fa,Young,F,3,3.413825969454609,3.474066781708689,0.9826598577289147,-0.060240812254079845
96,20240816a,fa/fa,Young,F,5,5.289531017255179,7.300808334350587,0.7245130641723232,-2.0112773170954084
97,20240816a,fa/fa,Young,F,6,6.366546307334419,11.152053953228576,0.570885536784125,-4.785507645894157
98,20240816a,fa/fa,Young,F,7,8.732663760607759,13.515424591989232,0.6461257433069266,-4.782760831381474
99,20240816a,fa/fa,Young,F,8,5.904023650929899,5.015407927542023,1.1771771581147086,0.8886157233878755
