,rat,gtyp,age,sex,vessel_idx,frequency_empa,frequency_vehicle,frequency_change
273,20241011a,fa/+,Adult,F,22.0,0.0273486457353371,0.0235786999600496,0.003769945775287501
274,20241011a,fa/+,Adult,F,23.0,0.0288070378681009,0.0227458535477926,0.006061184320308301
277,20241011a,fa/+,Adult,F,26.0,0.0282005403820468,0.0210143265636752,0.0071862138183716
278,20241011a,fa/+,Adult,F,27.0,0.0281846846949535,0.0207356960401511,0.0074489886548024
279,20241011a,fa/+,Adult,F,28.0,0.0291898459056829,0.0254252021466181,0.0037646437590647987
281,20241011b,fa/+,Adult,F,1.0,0.0339302651608137,0.0288039171394869,0.005126348021326797
285,20241011b,fa/+,Adult,F,7.0,0.0330920412150462,0.02902503732094,0.004067003894106198
286,20241011b,fa/+,Adult,F,8.0,0.0302289057693973,0.0278447743945393,0.002384131374858
287,20241011b,fa/+,Adult,F,10.0,0.0354311000512058,0.0305202840864325,0.004910815964773298
288,20241011b,fa/+,Adult,F,11.0,0.0361386233215933,0.0295009155992158,0.006637707722377501
291,20241011b,fa/+,Adult,F,14.0,0.0354420494089044,0.0295703740561926,0.0058716753527118005
292,20241011b,fa/+,Adult,F,15.0,0.031984923199124,0.0279836948780077,0.004001228321116299
294,20241011b,fa/+,Adult,F,17.0,0.0350598113279376,0.0310168894605661,0.0040429218673714955
297,20241011b,fa/+,Adult,F,21.0,0.0328165511460041,0.0233186212568761,0.009497929889127996
300,20241011b,fa/+,Adult,F,24.0,0.0370129090793262,0.0326041018096816,0.004408807269644599
301,20241011b,fa/+,Adult,F,25.0,0.0339683165821642,0.0297696158999548,0.004198700682209396
302,20241011b,fa/+,Adult,F,26.0,0.0304091439893019,0.0285657914142861,0.0018433525750158018
304,20241014a,fa/+,Adult,F,0.0,0.0289863926942283,0.0255144203667953,0.003471972327433001
307,20241014a,fa/+,Adult,F,4.0,0.0263014676264144,0.0241503734957774,0.0021510941306370004
308,20241014a,fa/+,Adult,F,6.0,0.0267962769137892,0.0235184375507073,0.0032778393630819025
309,20241014a,fa/+,Adult,F,7.0,0.0276205301189705,0.0241904129392783,0.003430117179692202
310,20241014a,fa/+,Adult,F,8.0,0.0278623941428222,0.0243523750806572,0.003510019062165002
313,20241014a,fa/+,Adult,F,12.0,0.0274826206663335,0.0244103869222374,0.0030722337440961013
315,20241014a,fa/+,Adult,F,14.0,0.0305539569321123,0.025716856175075,0.004837100757037301
316,20241014a,fa/+,Adult,F,15.0,0.0291323100014151,0.0262217949839178,0.0029105150174972977
317,20241014a,fa/+,Adult,F,16.0,0.0269678867214626,0.0235737533849576,0.0033941333365050015
318,20241014a,fa/+,Adult,F,17.0,0.0257763232547708,0.025336377479409,0.0004399457753617997
320,20241014a,fa/+,Adult,F,19.0,0.0270885851363147,0.0235421953865433,0.0035463897497714017
321,20241014a,fa/+,Adult,F,21.0,0.0259648893488555,0.0235001423953306,0.0024647469535249017
322,20241014a,fa/+,Adult,F,22.0,0.025640988267946,0.0237266707669332,0.0019143175010127994
323,20241014a,fa/+,Adult,F,23.0,0.025664980617299,0.0238858621649375,0.001779118452361502
324,20241014a,fa/+,Adult,F,24.0,0.0259679747006081,0.0243543701011842,0.0016136045994239005
326,20241014a,fa/+,Adult,F,27.0,0.0284157741807678,0.0262970328520387,0.0021187413287291
327,20241014a,fa/+,Adult,F,28.0,0.0280721052683951,0.0258702269350582,0.0022018783333369006
329,20241014a,fa/+,Adult,F,31.0,0.0271202471275962,0.0241709085541598,0.002949338573436402
376,20241022a,fa/+,Adult,F,2.0,0.0329271121596377,0.0260319867649718,0.006895125394665899
378,20241022a,fa/+,Adult,F,5.0,0.0329308131740138,0.0259272268279432,0.007003586346070598
379,20241022a,fa/+,Adult,F,6.0,0.034386462230746,0.0267918618331933,0.007594600397552699
380,20241022a,fa/+,Adult,F,7.0,0.0350851725774229,0.0286484255831603,0.0064367469942625995
381,20241022a,fa/+,Adult,F,10.0,0.0330568399957104,0.0276952987260267,0.0053615412696837
382,20241022a,fa/+,Adult,F,11.0,0.0342985086805061,0.0311381339959154,0.0031603746845907006
383,20241022a,fa/+,Adult,F,12.0,0.0329160718920538,0.0273654114399191,0.005550660452134697
384,20241022a,fa/+,Adult,F,13.0,0.0330546232896859,0.0286144499436724,0.004440173346013498
386,20241022a,fa/+,Adult,F,15.0,0.0347420018434154,0.0310714588335123,0.003670543009903101
388,20241022a,fa/+,Adult,F,17.0,0.0344701437759587,0.0288394871146757,0.005630656661283002
390,20241022a,fa/+,Adult,F,19.0,0.032941186724182,0.0287105231318452,0.004230663592336804
401,20241023a,fa/+,Adult,M,0.0,0.030417195031985,0.0239186181865255,0.0064985768454595
405,20241023a,fa/+,Adult,M,11.0,0.0304194040671508,0.0262071492227311,0.0042122548444196994
406,20241023a,fa/+,Adult,M,12.0,0.0321567710366614,0.0275506606314386,0.004606110405222796
408,20241023a,fa/+,Adult,M,14.0,0.0324665285798051,0.0272825496057113,0.005183978974093801
412,20241023b,fa/fa,Adult,F,0.0,0.028562085371847,0.0265615372950891,0.0020005480767579
413,20241023b,fa/fa,Adult,F,1.0,0.0270801427834698,0.0248965793166803,0.0021835634667895024
415,20241023b,fa/fa,Adult,F,3.0,0.0284945126929163,0.0254526450969889,0.0030418675959274014
416,20241023b,fa/fa,Adult,F,4.0,0.0330307655002451,0.0319295515817789,0.0011012139184661957
417,20241023b,fa/fa,Adult,F,5.0,0.032310986274617,0.0321630033258897,0.00014798294872730294
418,20241023b,fa/fa,Adult,F,6.0,0.0323801445772207,0.0319050035303819,0.00047514104683880204
419,20241023b,fa/fa,Adult,F,7.0,0.0290744645350841,0.0275910680533179,0.0014833964817662013
420,20241023b,fa/fa,Adult,F,8.0,0.0325076173633487,0.0319369737099099,0.0005706436534387987
421,20241023b,fa/fa,Adult,F,9.0,0.0305326446480487,0.0286892973560062,0.0018433472920425
422,20241023b,fa/fa,Adult,F,10.0,0.0313009636412383,0.0289515247836856,0.0023494388575527013
423,20241023b,fa/fa,Adult,F,11.0,0.0310809074593962,0.0290309400419309,0.002049967417465298
424,20241023b,fa/fa,Adult,F,12.0,0.0269863283628088,0.0257742773339332,0.001212051028875602
425,20241023b,fa/fa,Adult,F,13.0,0.0288158774827669,0.027575279946382,0.0012405975363848978
426,20241023b,fa/fa,Adult,F,14.0,0.0287482925233194,0.027466872177442,0.0012814203458774015
427,20241023b,fa/fa,Adult,F,15.0,0.0287106660772438,0.0275334829665481,0.001177183110695701
428,20241023b,fa/fa,Adult,F,16.0,0.0289231215501283,0.0274859494381206,0.0014371721120076987
430,20241024a,fa/fa,Adult,F,3.0,0.0292103304934624,0.0258017332211365,0.0034085972723259007
433,20241024a,fa/fa,Adult,F,6.0,0.0289309289561388,0.0240941864288302,0.004836742527308601
437,20241024a,fa/fa,Adult,F,10.0,0.0276840970675016,0.0207928608297714,0.006891236237730199
451,20241025a,fa/fa,Adult,F,2.0,0.0240597264429454,0.021957521803152,0.0021022046397933987
453,20241025a,fa/fa,Adult,F,4.0,0.0235684951908999,0.0220105375089904,0.0015579576819094998
454,20241025a,fa/fa,Adult,F,5.0,0.0295724064060523,0.0278900070733373,0.001682399332714999
456,20241025a,fa/fa,Adult,F,7.0,0.0289165457554315,0.0304915271378632,-0.0015749813824317005
457,20241025a,fa/fa,Adult,F,9.0,0.0283093468984973,0.0265419258997902,0.0017674209987070984
459,20241025a,fa/fa,Adult,F,11.0,0.030484303270085,0.0285520111173921,0.0019322921526928986
461,20241025a,fa/fa,Adult,F,13.0,0.0300076966460352,0.0287008368157758,0.0013068598302594
462,20241025a,fa/fa,Adult,F,14.0,0.0307856599696718,0.0292166238750729,0.001569036094598901
